bill,tip,smoker,day,time,size
16.99,1.01,No,Sun,Dinner,2
10.34,1.66,No,Sun,Dinner,3
21.01,3.5,No,Sun,Dinner,3
23.68,3.31,No,Sun,Dinner,2
24.59,3.61,No,Sun,Dinner,4
25.29,4.71,No,Sun,Dinner,4
8.77,2.0,No,Sun,Dinner,2
26.88,3.12,No,Sun,Dinner,4
15.04,1.96,No,Sun,Dinner,2
14.78,3.23,No,Sun,Dinner,2
10.27,1.71,No,Sun,Dinner,2
35.26,5.0,No,Sun,Dinner,4
15.42,1.57,No,Sun,Dinner,2
18.43,3.0,No,Sun,Dinner,4
14.83,3.02,No,Sun,Dinner,2
21.58,3.92,No,Sun,Dinner,2
10.33,1.67,No,Sun,Dinner,3
16.29,3.71,No,Sun,Dinner,3
16.97,3.5,No,Sun,Dinner,3
20.65,3.35,No,Sat,Dinner,3
17.92,4.08,No,Sat,Dinner,2
20.29,2.75,No,Sat,Dinner,2
15.77,2.23,No,Sat,Dinner,2
39.42,7.58,No,Sat,Dinner,4
19.82,3.18,No,Sat,Dinner,2
17.81,2.34,No,Sat,Dinner,4
13.37,2.0,No,Sat,Dinner,2
12.69,2.0,No,Sat,Dinner,2
21.7,4.3,No,Sat,Dinner,2
19.65,3.0,No,Sat,Dinner,2
9.55,1.45,No,Sat,Dinner,2
18.35,2.5,No,Sat,Dinner,4
15.06,3.0,No,Sat,Dinner,2
20.69,2.45,No,Sat,Dinner,4
17.78,3.27,No,Sat,Dinner,2
24.06,3.6,No,Sat,Dinner,3
16.31,2.0,No,Sat,Dinner,3
16.93,3.07,No,Sat,Dinner,3
18.69,2.31,No,Sat,Dinner,3
31.27,5.0,No,Sat,Dinner,3
16.04,2.24,No,Sat,Dinner,3
17.46,2.54,No,Sun,Dinner,2
13.94,3.06,No,Sun,Dinner,2
9.68,1.32,No,Sun,Dinner,2
30.4,5.6,No,Sun,Dinner,4
18.29,3.0,No,Sun,Dinner,2
22.23,5.0,No,Sun,Dinner,2
32.4,6.0,No,Sun,Dinner,4
28.55,2.05,No,Sun,Dinner,3
18.04,3.0,No,Sun,Dinner,2
12.54,2.5,No,Sun,Dinner,2
10.29,2.6,No,Sun,Dinner,2
34.81,5.2,No,Sun,Dinner,4
9.94,1.56,No,Sun,Dinner,2
25.56,4.34,No,Sun,Dinner,4
19.49,3.51,No,Sun,Dinner,2
38.01,3.0,Yes,Sat,Dinner,4
26.41,1.5,No,Sat,Dinner,2
11.24,1.76,Yes,Sat,Dinner,2
48.27,6.73,No,Sat,Dinner,4
20.29,3.21,Yes,Sat,Dinner,2
13.81,2.0,Yes,Sat,Dinner,2
11.02,1.98,Yes,Sat,Dinner,2
18.29,3.76,Yes,Sat,Dinner,4
17.59,2.64,No,Sat,Dinner,3
20.08,3.15,No,Sat,Dinner,3
16.45,2.47,No,Sat,Dinner,2
3.07,1.0,Yes,Sat,Dinner,1
20.23,2.01,No,Sat,Dinner,2
15.01,2.09,Yes,Sat,Dinner,2
12.02,1.97,No,Sat,Dinner,2
17.07,3.0,No,Sat,Dinner,3
26.86,3.14,Yes,Sat,Dinner,2
25.28,5.0,Yes,Sat,Dinner,2
14.73,2.2,No,Sat,Dinner,2
10.51,1.25,No,Sat,Dinner,2
17.92,3.08,Yes,Sat,Dinner,2
27.2,4.0,No,Thur,Lunch,4
22.76,3.0,No,Thur,Lunch,2
17.29,2.71,No,Thur,Lunch,2
19.44,3.0,Yes,Thur,Lunch,2
16.66,3.4,No,Thur,Lunch,2
10.07,1.83,No,Thur,Lunch,1
32.68,5.0,Yes,Thur,Lunch,2
15.98,2.03,No,Thur,Lunch,2
34.83,5.17,No,Thur,Lunch,4
13.03,2.0,No,Thur,Lunch,2
18.28,4.0,No,Thur,Lunch,2
24.71,5.85,No,Thur,Lunch,2
21.16,3.0,No,Thur,Lunch,2
28.97,3.0,Yes,Fri,Dinner,2
22.49,3.5,No,Fri,Dinner,2
5.75,1.0,Yes,Fri,Dinner,2
16.32,4.3,Yes,Fri,Dinner,2
22.75,3.25,No,Fri,Dinner,2
40.17,4.73,Yes,Fri,Dinner,4
27.28,4.0,Yes,Fri,Dinner,2
12.03,1.5,Yes,Fri,Dinner,2
21.01,3.0,Yes,Fri,Dinner,2
12.46,1.5,No,Fri,Dinner,2
11.35,2.5,Yes,Fri,Dinner,2
15.38,3.0,Yes,Fri,Dinner,2
44.3,2.5,Yes,Sat,Dinner,3
22.42,3.48,Yes,Sat,Dinner,2
20.92,4.08,No,Sat,Dinner,2
15.36,1.64,Yes,Sat,Dinner,2
20.49,4.06,Yes,Sat,Dinner,2
25.21,4.29,Yes,Sat,Dinner,2
18.24,3.76,No,Sat,Dinner,2
14.31,4.0,Yes,Sat,Dinner,2
14.0,3.0,No,Sat,Dinner,2
7.25,1.0,No,Sat,Dinner,1
38.07,4.0,No,Sun,Dinner,3
23.95,2.55,No,Sun,Dinner,2
25.71,4.0,No,Sun,Dinner,3
17.31,3.5,No,Sun,Dinner,2
29.93,5.07,No,Sun,Dinner,4
10.65,1.5,No,Thur,Lunch,2
12.43,1.8,No,Thur,Lunch,2
24.08,2.92,No,Thur,Lunch,4
11.69,2.31,No,Thur,Lunch,2
13.42,1.68,No,Thur,Lunch,2
14.26,2.5,No,Thur,Lunch,2
15.95,2.0,No,Thur,Lunch,2
12.48,2.52,No,Thur,Lunch,2
29.8,4.2,No,Thur,Lunch,6
8.52,1.48,No,Thur,Lunch,2
14.52,2.0,No,Thur,Lunch,2
11.38,2.0,No,Thur,Lunch,2
22.82,2.18,No,Thur,Lunch,3
19.08,1.5,No,Thur,Lunch,2
20.27,2.83,No,Thur,Lunch,2
11.17,1.5,No,Thur,Lunch,2
12.26,2.0,No,Thur,Lunch,2
18.26,3.25,No,Thur,Lunch,2
8.51,1.25,No,Thur,Lunch,2
10.33,2.0,No,Thur,Lunch,2
14.15,2.0,No,Thur,Lunch,2
16.0,2.0,Yes,Thur,Lunch,2
13.16,2.75,No,Thur,Lunch,2
17.47,3.5,No,Thur,Lunch,2
34.3,6.7,No,Thur,Lunch,6
41.19,5.0,No,Thur,Lunch,5
27.05,5.0,No,Thur,Lunch,6
16.43,2.3,No,Thur,Lunch,2
8.35,1.5,No,Thur,Lunch,2
18.64,1.36,No,Thur,Lunch,3
11.87,1.63,No,Thur,Lunch,2
9.78,1.73,No,Thur,Lunch,2
7.51,2.0,No,Thur,Lunch,2
14.07,2.5,No,Sun,Dinner,2
13.13,2.0,No,Sun,Dinner,2
17.26,2.74,No,Sun,Dinner,3
24.55,2.0,No,Sun,Dinner,4
19.77,2.0,No,Sun,Dinner,4
29.85,5.14,No,Sun,Dinner,5
48.17,5.0,No,Sun,Dinner,6
25.0,3.75,No,Sun,Dinner,4
13.39,2.61,No,Sun,Dinner,2
16.49,2.0,No,Sun,Dinner,4
21.5,3.5,No,Sun,Dinner,4
12.66,2.5,No,Sun,Dinner,2
16.21,2.0,No,Sun,Dinner,3
13.81,2.0,No,Sun,Dinner,2
17.51,3.0,Yes,Sun,Dinner,2
24.52,3.48,No,Sun,Dinner,3
20.76,2.24,No,Sun,Dinner,2
31.71,4.5,No,Sun,Dinner,4
10.59,1.61,Yes,Sat,Dinner,2
10.63,2.0,Yes,Sat,Dinner,2
50.81,10.0,Yes,Sat,Dinner,3
15.81,3.16,Yes,Sat,Dinner,2
7.25,5.15,Yes,Sun,Dinner,2
31.85,3.18,Yes,Sun,Dinner,2
16.82,4.0,Yes,Sun,Dinner,2
32.9,3.11,Yes,Sun,Dinner,2
17.89,2.0,Yes,Sun,Dinner,2
14.48,2.0,Yes,Sun,Dinner,2
9.6,4.0,Yes,Sun,Dinner,2
34.63,3.55,Yes,Sun,Dinner,2
34.65,3.68,Yes,Sun,Dinner,4
23.33,5.65,Yes,Sun,Dinner,2
45.35,3.5,Yes,Sun,Dinner,3
23.17,6.5,Yes,Sun,Dinner,4
40.55,3.0,Yes,Sun,Dinner,2
20.69,5.0,No,Sun,Dinner,5
20.9,3.5,Yes,Sun,Dinner,3
30.46,2.0,Yes,Sun,Dinner,5
18.15,3.5,Yes,Sun,Dinner,3
23.1,4.0,Yes,Sun,Dinner,3
15.69,1.5,Yes,Sun,Dinner,2
19.81,4.19,Yes,Thur,Lunch,2
28.44,2.56,Yes,Thur,Lunch,2
15.48,2.02,Yes,Thur,Lunch,2
16.58,4.0,Yes,Thur,Lunch,2
7.56,1.44,No,Thur,Lunch,2
10.34,2.0,Yes,Thur,Lunch,2
43.11,5.0,Yes,Thur,Lunch,4
13.0,2.0,Yes,Thur,Lunch,2
13.51,2.0,Yes,Thur,Lunch,2
18.71,4.0,Yes,Thur,Lunch,3
12.74,2.01,Yes,Thur,Lunch,2
13.0,2.0,Yes,Thur,Lunch,2
16.4,2.5,Yes,Thur,Lunch,2
20.53,4.0,Yes,Thur,Lunch,4
16.47,3.23,Yes,Thur,Lunch,3
26.59,3.41,Yes,Sat,Dinner,3
38.73,3.0,Yes,Sat,Dinner,4
24.27,2.03,Yes,Sat,Dinner,2
12.76,2.23,Yes,Sat,Dinner,2
30.06,2.0,Yes,Sat,Dinner,3
25.89,5.16,Yes,Sat,Dinner,4
48.33,9.0,No,Sat,Dinner,4
13.27,2.5,Yes,Sat,Dinner,2
28.17,6.5,Yes,Sat,Dinner,3
12.9,1.1,Yes,Sat,Dinner,2
28.15,3.0,Yes,Sat,Dinner,5
11.59,1.5,Yes,Sat,Dinner,2
7.74,1.44,Yes,Sat,Dinner,2
30.14,3.09,Yes,Sat,Dinner,4
12.16,2.2,Yes,Fri,Lunch,2
13.42,3.48,Yes,Fri,Lunch,2
8.58,1.92,Yes,Fri,Lunch,1
15.98,3.0,No,Fri,Lunch,3
13.42,1.58,Yes,Fri,Lunch,2
16.27,2.5,Yes,Fri,Lunch,2
10.09,2.0,Yes,Fri,Lunch,2
20.45,3.0,No,Sat,Dinner,4
13.28,2.72,No,Sat,Dinner,2
22.12,2.88,Yes,Sat,Dinner,2
24.01,2.0,Yes,Sat,Dinner,4
15.69,3.0,Yes,Sat,Dinner,3
11.61,3.39,No,Sat,Dinner,2
10.77,1.47,No,Sat,Dinner,2
15.53,3.0,Yes,Sat,Dinner,2
10.07,1.25,No,Sat,Dinner,2
12.6,1.0,Yes,Sat,Dinner,2
32.83,1.17,Yes,Sat,Dinner,2
35.83,4.67,No,Sat,Dinner,3
29.03,5.92,No,Sat,Dinner,3
27.18,2.0,Yes,Sat,Dinner,2
22.67,2.0,Yes,Sat,Dinner,2
17.82,1.75,No,Sat,Dinner,2
18.78,3.0,No,Thur,Dinner,2
12.44,50.0,Yes,,Dinner,4
15.03,2.35,No,Sat,Dinner,6
65.68,9.25,Yes,Sat,Dinner,3
46.59,9.11,Yes,Sun,Dinner,3
61.71,1.13,No,Sun,Lunch,1
34.89,12.04,Yes,Sat,Lunch,3
69.58,7.94,No,Mon,Dinner,8
43.5,8.32,No,Sun,Dinner,8
37.12,9.44,Yes,Sat,Lunch,6
40.55,8.73,Yes,Sat,Lunch,4
65.89,13.94,Yes,Mon,Dinner,8
40.4,10.82,No,Fri,Lunch,9
66.69,2.63,Yes,Sat,Dinner,3
48.03,3.01,No,Thu,Lunch,2
16.33,13.93,Yes,Sat,Dinner,8
36.14,1.92,No,Sun,Dinner,6
68.36,9.34,No,Wed,Dinner,6
54.26,3.43,Yes,Sun,Lunch,8
68.09,9.12,Yes,Sat,Dinner,3
18.32,6.87,Yes,Sun,Lunch,8
46.74,11.65,Yes,Sat,Lunch,1
24.32,8.24,No,Sat,Dinner,2
5.16,8.84,Yes,Sun,Lunch,8
29.04,8.56,No,Wed,Dinner,8
60.74,4.08,Yes,Thu,Lunch,4
47.88,6.07,Yes,Sun,Lunch,1
53.49,6.55,Yes,Sat,Lunch,9
32.54,12.42,No,Mon,Dinner,4
23.12,8.44,Yes,Sun,Lunch,6
4.44,6.95,No,Sat,Dinner,9
12.64,5.08,No,Tue,Lunch,3
39.57,4.87,Yes,Fri,Dinner,9
69.06,3.73,No,Sun,Lunch,2
68.28,4.48,No,Sun,Dinner,1
27.54,7.78,Yes,Sat,Lunch,8
68.97,9.43,No,Sat,Dinner,4
19.81,9.77,Yes,Sun,Lunch,6
40.9,6.76,Yes,Tue,Lunch,3
9.16,3.01,Yes,Sat,Lunch,4
11.98,12.34,Yes,Sat,Lunch,2
60.42,11.42,Yes,Thu,Lunch,8
37.33,5.66,Yes,Wed,Dinner,3
65.67,12.61,No,Sat,Lunch,2
59.45,7.49,No,Sat,Dinner,8
9.3,8.36,No,Fri,Lunch,4
22.03,6.19,Yes,Thu,Lunch,4
41.83,1.71,No,Sun,Lunch,8
37.88,3.44,Yes,Thu,Dinner,5
45.28,2.13,Yes,Sat,Dinner,9
21.44,9.57,No,Thu,Dinner,7
69.56,5.11,Yes,Sun,Lunch,3
63.99,10.68,No,Sat,Lunch,1
33.03,1.25,Yes,Sat,Lunch,9
51.88,3.59,No,Sat,Lunch,9
8.42,13.34,No,Sun,Lunch,6
55.87,5.49,Yes,Sat,Lunch,9
60.05,10.64,Yes,Sun,Dinner,6
4.63,13.23,Yes,Thu,Lunch,5
6.56,1.48,No,Sat,Dinner,6
64.21,6.08,No,Sat,Dinner,9
28.77,1.52,Yes,Tue,Dinner,9
53.82,7.31,No,Tue,Dinner,4
11.45,9.17,Yes,Sun,Lunch,9
24.0,7.52,Yes,Sat,Lunch,5
24.54,7.61,No,Sun,Dinner,9
67.5,7.56,No,Sun,Lunch,8
7.21,9.81,Yes,Thu,Lunch,6
30.11,10.48,No,Tue,Lunch,5
40.26,5.08,Yes,Sat,Dinner,6
12.57,1.44,No,Tue,Dinner,3
67.1,4.74,Yes,Tue,Lunch,7
57.92,8.08,Yes,Sun,Lunch,7
17.38,11.48,No,Thu,Dinner,1
34.41,5.94,Yes,Sat,Dinner,9
14.44,13.9,Yes,Sun,Dinner,4
17.78,7.18,Yes,Sun,Lunch,9
36.69,10.13,Yes,Tue,Lunch,7
59.54,1.12,No,Tue,Dinner,2
25.47,0.98,No,Sat,Dinner,5
53.02,3.0,No,Sat,Dinner,4
9.99,4.49,No,Sat,Dinner,7
16.73,7.64,No,Wed,Lunch,9
50.98,7.31,Yes,Thu,Dinner,6
21.41,5.67,Yes,Sun,Dinner,6
62.18,2.56,Yes,Sun,Lunch,8
18.71,1.08,No,Sun,Dinner,1
54.9,8.39,Yes,Sun,Dinner,2
7.47,8.02,Yes,Mon,Lunch,6
14.64,3.0,Yes,Fri,Lunch,7
55.36,2.66,No,Mon,Dinner,2
58.67,13.51,No,Mon,Lunch,7
36.11,11.62,Yes,Fri,Dinner,1
17.83,6.39,Yes,Sun,Lunch,9
42.14,8.66,No,Sun,Lunch,9
25.7,10.68,Yes,Sun,Lunch,6
65.78,2.0,Yes,Sun,Dinner,1
52.58,1.62,Yes,Tue,Dinner,2
27.3,7.64,Yes,Thu,Dinner,4
31.22,9.72,No,Wed,Lunch,9
39.22,9.24,Yes,Sun,Dinner,2
17.52,10.67,No,Thu,Dinner,3
35.79,12.92,Yes,Sat,Dinner,8
13.48,4.31,No,Tue,Lunch,1
54.81,11.48,Yes,Thu,Dinner,6
14.6,6.52,No,Sat,Lunch,1
35.92,13.14,Yes,Wed,Dinner,9
6.67,11.57,Yes,Thu,Dinner,4
22.65,8.44,No,Sat,Lunch,4
29.01,9.11,No,Fri,Dinner,2
20.63,2.54,Yes,Sat,Dinner,3
15.42,6.92,No,Tue,Lunch,8
12.62,3.64,Yes,Mon,Dinner,2
57.15,13.45,No,Wed,Lunch,5
27.08,8.96,Yes,Sat,Dinner,9
62.35,1.99,No,Tue,Dinner,6
41.37,9.01,No,Sun,Lunch,2
62.0,13.58,Yes,Thu,Dinner,8
59.3,4.63,Yes,Mon,Lunch,6
38.12,13.84,Yes,Sat,Dinner,9
9.1,7.03,No,Sat,Lunch,3
54.87,5.63,Yes,Sat,Dinner,9
36.42,11.14,Yes,Wed,Lunch,7
47.31,5.17,No,Sat,Lunch,7
9.57,9.11,No,Sun,Lunch,5
47.83,8.36,Yes,Thu,Dinner,1
35.77,11.38,Yes,Sun,Lunch,8
52.43,13.69,No,Thu,Lunch,4
13.83,5.41,No,Wed,Lunch,2
30.15,11.65,Yes,Thu,Lunch,9
20.6,13.44,Yes,Mon,Dinner,2
60.54,1.96,No,Sat,Dinner,6
36.87,9.86,No,Sun,Lunch,8
40.1,13.98,No,Sun,Lunch,5
15.36,3.09,Yes,Mon,Dinner,4
67.05,11.57,Yes,Wed,Dinner,3
30.28,1.19,Yes,Fri,Lunch,9
32.15,9.68,Yes,Sun,Dinner,5
67.3,10.44,No,Sat,Lunch,2
10.17,5.71,Yes,Sat,Lunch,3
62.66,4.63,Yes,Sun,Dinner,3
25.28,11.24,No,Sun,Dinner,9
23.79,4.8,Yes,Sat,Dinner,8
23.83,10.12,Yes,Sun,Dinner,4
17.51,0.82,Yes,Sun,Lunch,7
54.13,5.49,Yes,Fri,Dinner,2
64.98,2.84,No,Mon,Dinner,2
55.93,11.0,Yes,Sat,Lunch,7
35.67,11.44,Yes,Wed,Lunch,2
3.68,12.53,Yes,Sun,Lunch,3
68.89,6.99,Yes,Sun,Lunch,5
51.31,9.47,No,Sun,Lunch,6
47.5,11.62,Yes,Wed,Lunch,4
37.1,11.51,No,Sun,Lunch,2
8.36,9.01,No,Sat,Lunch,4
6.26,5.62,Yes,Mon,Dinner,9
47.07,11.23,No,Sat,Lunch,5
60.07,4.03,No,Sat,Dinner,7
32.22,8.82,Yes,Sat,Dinner,2
45.29,9.65,No,Sun,Lunch,9
58.68,13.25,No,Sun,Dinner,7
41.67,7.71,No,Wed,Dinner,8
49.65,7.57,No,Thu,Lunch,4
63.62,9.16,Yes,Tue,Lunch,6
12.16,6.6,No,Sun,Lunch,8
67.65,1.55,No,Sun,Lunch,6
51.3,9.07,Yes,Sat,Lunch,9
67.43,12.48,No,Fri,Lunch,5
4.5,10.24,No,Thu,Lunch,1
13.53,10.13,Yes,Sun,Dinner,6
14.08,3.59,No,Mon,Dinner,3
49.04,10.66,No,Sat,Dinner,1
22.94,7.69,Yes,Sun,Lunch,6
23.11,9.69,Yes,Sun,Dinner,3
45.0,8.23,No,Fri,Dinner,4
